schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
public	capacity_settings	Users manage capacity settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	case_studies	Public can view published case studies	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	case_studies	Public read published case studies	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	case_studies	Users manage case studies (#793)	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	case_studies	Users manage own case studies	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	case_studies	Users manage their case studies	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	cashflow_items	Users manage their cashflow items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_activities	Users manage their activities	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_avatars	Users manage their client avatars	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_briefs	Users manage their briefs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_checkins	Users can manage their own check-ins	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_checklists	Users manage their client checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_comm_log	Users manage their comm log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_comms	Users manage their client comms	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_communications	Users manage their communications	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_contacts	Users manage their client contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_contacts	Users manage their contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_documents	Users manage their client documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_documents	Users manage their documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_events	Users manage their client events	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_feedback	Users manage their client feedback	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_followups	Users manage their followups	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_gifts	Users manage their gifts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_goals	Users manage their goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_greeting_log	Users manage their greeting log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_important_dates	Users manage their dates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_important_dates	Users manage their important dates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_interactions	Users manage their client interactions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_ltv_snapshots	Users manage their ltv snapshots	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_meetings	Users manage their meetings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_moods	Users manage their moods	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_notes	Users manage their client notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_notes	Users manage their own client notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_nps	Users manage their NPS	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_onboarding_emails	Users manage their onboarding emails	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_onboardings	client_onboardings_user_363	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_portal_tokens	Users manage client portal tokens	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_portal_tokens	Users manage their own portal tokens	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_portals	Users manage portals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_portals	Users manage their portals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_quick_notes	Users manage their quick notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_referrals	Users manage their referrals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_retainers	Users manage their retainers	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_satisfaction	Users manage their satisfaction	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_status_updates	Users manage their status updates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_surveys	Public can submit surveys	PERMISSIVE	{public}	UPDATE	(status = 'pending'::text)	
public	client_surveys	Users manage their surveys	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_testimonials	Users manage their testimonials	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_welcome_links	Users manage their welcome links	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	client_winback	Users manage their winback campaigns	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	clients	Users manage own clients	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	closeout_items	Users manage their closeout items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	coach_conversations	Users manage their coach conversations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	coach_messages	Users manage their coach messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	coaching_tips	Users manage their coaching tips	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	comm_templates	Users manage their templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	comm_templates	Users see their templates and defaults	PERMISSIVE	{public}	SELECT	((is_default = true) OR (auth.uid() = user_id))	
public	communication_logs	Users manage their communication logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	communications	Users manage their communications	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	community_messages	Authenticated users can insert messages	PERMISSIVE	{authenticated}	INSERT		(auth.uid() IS NOT NULL)
public	community_messages	Community messages readable by authenticated users	PERMISSIVE	{authenticated}	SELECT	true	
public	community_profiles	Community profiles readable by authenticated users	PERMISSIVE	{authenticated}	SELECT	true	
public	community_profiles	Users manage own community profile	PERMISSIVE	{authenticated}	ALL	(user_id = auth.uid())	(user_id = auth.uid())
public	community_rooms	Rooms readable by authenticated users	PERMISSIVE	{authenticated}	SELECT	true	
public	competitor_analyses	Users manage their competitor analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contact_inquiries	Owner can read inquiries	PERMISSIVE	{public}	SELECT	(auth.uid() = recipient_user_id)	
public	content_briefs	Users manage their content briefs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	content_posts	Users manage their content	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	content_posts	Users manage their content posts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_amendments	Users manage their amendments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_analyses	Users manage their contract analyses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_breaches	Users manage their contract breaches	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_builds	Users manage their contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_checklists	Users manage their contract checklists	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_clauses	Users manage their clauses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_clauses	Users manage their contract clauses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_signatures	Anyone can create a signature	PERMISSIVE	{public}	INSERT		true
public	contract_template_builder	Users manage their builder templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contract_templates	Users manage their contract templates	PERMISSIVE	{public}	ALL	((auth.uid() = user_id) OR (is_system = true))	(auth.uid() = user_id)
public	contractor_assignments	Users manage their contractor assignments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contractors	Users manage their contractors	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contracts	Users manage contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	contracts	Users manage own contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	contracts	Users manage their contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	cover_letters	Users manage their cover letters	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	credit_notes	Users manage their credit notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	crm_leads	Users manage their CRM leads	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	crm_reminders	Users manage their reminders	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	currency_settings	Users manage currency settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	daily_dashboard_data	daily_dashboard_data_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	daily_productivity_scores	Users manage their productivity scores	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	daily_tasks	Users manage their daily tasks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	daily_tips	Users manage their daily tips	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	deliverable_revisions	Users manage their deliverable revisions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	deliverables	Users manage their deliverables	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	dev_feedback	dev_feedback_whitelist_insert	PERMISSIVE	{authenticated}	INSERT		((user_id = auth.uid()) AND ((auth.jwt() ->> 'email'::text) = ANY (ARRAY['krokusstudia2@gmail.com'::text, 'lancerwise.team@gmail.com'::text])))
public	dev_feedback	dev_feedback_whitelist_select	PERMISSIVE	{authenticated}	SELECT	((auth.jwt() ->> 'email'::text) = ANY (ARRAY['krokusstudia2@gmail.com'::text, 'lancerwise.team@gmail.com'::text]))	
public	digest_preferences	Users manage their digest prefs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	digest_send_log	Users view their digest log	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	digest_settings	Users manage their digest settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	digital_product_sales	Users manage their product sales	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	digital_products	Users manage their digital products	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	discount_codes	Users manage their discount codes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	email_logs	Users can view their own email logs	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	email_responses	Users manage email responses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	email_sequences	Users manage their email sequences	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	email_signatures	Users manage their email signatures	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	email_templates	Users manage their email templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	emergency_fund_log	Users manage their fund log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	estimates	Users manage their estimates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	expense_budgets	Users manage their budgets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	expense_budgets	Users manage their expense budgets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	expense_categories	Users manage their expense categories	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	expenses	Users manage their expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	expenses	Users manage their own expenses	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	faq_sets	Users manage their faq sets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	financial_settings	Users manage their financial settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	focus_blocks	focus_blocks_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	focus_sessions	focus_sessions_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	freelance_goals	Users manage their goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	freelance_project_templates	Users manage their project templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	freelancer_skills	Users manage their skills	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	generated_bios	Users manage their bios	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	generated_contracts	Users manage their contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	generated_contracts	Users manage their generated contracts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	gmail_connections	Users can manage own gmail connection	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	goal_milestones	Users manage their milestones	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	growth_roadmaps	Users manage own roadmaps	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	habit_definitions	Users manage their habits	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	habit_logs	Users manage their habit logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	habits	Users manage own habits	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	handoff_documents	Users manage their handoff documents	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	health_score_snapshots	Users manage their health scores	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	health_snapshots	Users manage health snapshots	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	inbox_messages	Users can manage own inbox messages	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	income_diversification_reports	Users manage diversification reports	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	income_goals	Users manage income goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	income_targets	Users manage their income targets	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	installment_plans	Users manage their installment plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	insurance_policies	Users manage their insurance	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	intake_forms	Users manage intake forms	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	intake_forms	Users manage their intake forms	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	intake_responses	Form owner updates responses	PERMISSIVE	{public}	UPDATE	(EXISTS ( SELECT 1
   FROM intake_forms
  WHERE ((intake_forms.id = intake_responses.form_id) AND (intake_forms.user_id = auth.uid()))))	
public	intake_responses	Form owner views responses	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1
   FROM intake_forms
  WHERE ((intake_forms.id = intake_responses.form_id) AND (intake_forms.user_id = auth.uid()))))	
public	intake_responses	Freelancers see their responses	PERMISSIVE	{public}	ALL	(auth.uid() = freelancer_user_id)	(auth.uid() = freelancer_user_id)
public	intake_responses	Public submit responses	PERMISSIVE	{public}	INSERT		true
public	invoice_branding	Users manage their invoice branding	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_disputes	Users manage invoice disputes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_disputes	Users manage their disputes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_installments	Users manage their installments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_items_library	Users manage their items library	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_payments	Users manage their invoice payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_pdf_templates	Users manage their invoice templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_reminder_log	Users view their reminder log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	invoice_reminder_log	Users view their reminder logs	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	invoice_reminder_rules	Users manage their reminder rules	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_reminder_settings	Users manage their reminder settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_reminders	Users manage their invoice reminders	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_reminders	Users manage their reminders	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoice_scheduled_reminders	Users manage their scheduled reminders	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	invoices	Portal access by token	PERMISSIVE	{public}	SELECT	(portal_token IS NOT NULL)	
public	invoices	Users manage own invoices	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	job_opportunities	Users manage their job opportunities	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kanban_boards	Users manage their boards	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kanban_cards	Users manage their cards	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kb_articles	Users manage their kb	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kb_articles	Users manage their kb articles	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kb_settings	Users manage kb settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	kickoff_emails	Users manage kickoff emails	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	knowledge_articles	Users manage their knowledge base	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	late_fee_log	Users manage their late fee log	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	leads	Users manage their leads	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	leads	Users manage their own leads	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	learning_goals	Users manage their learning goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	learning_items	Users manage their learning items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	line_item_templates	Users manage their line item templates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	linkedin_posts	Users manage their linkedin posts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	ltv_predictions	Users manage their ltv predictions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	meeting_notes	Users manage their meeting notes	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	meeting_roi_logs	Users manage meeting ROI logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	meetings	Users manage their meetings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	milestone_billing_plans	Users manage billing plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	monthly_goals	Users manage their goals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	monthly_reviews	Users manage their monthly reviews	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	mood_entries	Users manage their mood entries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	mrr_subscriptions	Users manage their mrr subscriptions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	negotiation_sessions	Users manage their negotiation sessions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	negotiations	Users manage negotiations	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	net_worth_items	Users manage their net worth items	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	net_worth_snapshots	Users manage their net worth snapshots	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	network_contacts	Users manage their network	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	network_contacts	Users manage their network contacts	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	network_referrals	Users manage their referrals	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
